county,rate,num1,num2,num3
Lake,31.165,19.1325,48.0425,6.92
Mendocino,29.445,19.4075,42.9825,5.685
San Francisco,24.9875,21.83,28.4775,1.665
Kern,16.7275,14.195,19.5825,1.3475
Inyo,16.5075,4.5,47.345,8.2575
Humboldt,15.645,9.69,23.91,3.41
Butte,14.9825,10.4675,20.8525,2.5225
Del Norte,14.9025,5.2475,37.1975,6.36
San Luis Obispo,11.8475,8.165,16.63,2.0575
San Diego,11.335,10.2225,12.535,0.58
Orange,11.185,10.06,12.405,0.59
Sonoma,10.98,8.2825,14.2825,1.475
Amador,10.53,4.7975,25.39,3.5975
Yuba,10.24,4.67,19.97,3.495
Marin,9.685,6.3725,14.195,1.8825
Stanislaus,9.43,7.08,12.3225,1.2875
Siskiyou,9.2325,3.2525,23.0475,3.9425
Riverside,8.475,7.37,9.6975,0.585
California,8.2345,7.95575,8.5205,0.1425
San Joaquin,8.125,6.29,10.35,0.9975
Ventura,8.1175,6.3275,10.26,0.97
Sutter,8.065,3.995,15.4675,2.4575
Los Angeles,7.5925,7.065,8.1425,0.2725
Contra Costa,7.5875,6.1,9.34,0.8025
Nevada,7.14,3.3425,14.3275,2.3275
Glenn,6.855,1.865,23.865,3.425
Shasta,6.8,3.54,11.855,1.9475
Imperial,6.7825,3.645,11.5725,1.8675
Lassen,6.675,1.82,23.245,3.335
Santa Cruz,6.545,3.95,10.28,1.5075
San Bernardino,6.275,5.275,7.4025,0.5275
El Dorado,5.82,3.115,10.23,1.6525
Placer,5.805,3.7075,8.6775,1.195
Tuolumne,5.7975,2.1975,16.1325,2.335
Napa,5.74,3.305,10.625,1.425
Mariposa,5.69,1.55,30.315,2.845
Sacramento,5.58,4.48,6.8775,0.595
Plumas,5.23,1.425,27.855,2.615
Tulare,4.98,3.225,7.38,1.0025
Merced,4.9,2.7825,8.1225,1.255
San Benito,4.86,1.3275,13.9375,2.43
San Mateo,4.775,3.3675,6.575,0.7825
Calaveras,4.53,1.235,15.775,2.265
Solano,4.49,2.7625,6.92,0.9925
Madera,4.3475,1.775,8.925,1.63
Alameda,4.2875,3.3675,5.395,0.5025
Santa Barbara,3.75,2.205,5.98,0.8975
Santa Clara,3.495,2.7275,4.4125,0.4175
Kings,3.225,1.0825,7.49,1.4225
Fresno,2.7425,1.8375,3.95,0.5125
Tehama,1.5625,0.425,8.33,0.7825
Monterey,1.125,0.4675,2.535,0.42
Yolo,0.885,0.24,3.08,0.445
Alpine,0.0,0.0,325.59,0.0
Colusa,0.0,0.0,16.19,0.0
Modoc,0.0,0.0,39.31,0.0
Mono,0.0,0.0,26.66,0.0
Sierra,0.0,0.0,119.07,0.0
Trinity,0.0,0.0,27.99,0.0
Unknown,,0.0,,
